"no","company_name","status","license_no","expiry_date","address","country","email","phone_no","vat_certificate"
"10027","Al GURG Consultants","Active","106789","04/27/2022 00:00:00","P.O.Box 810 99 Oud Metha 5th Floor Dubai - U.A.E. Dubai 810","AE","info@algurg.ae","043024999","100000849800003"
"10029","Al Hashemi","Active","102486","03/13/2022 00:00:00","POBOX:13313 Al Wuheeda Road Dubai 13313","AE","info@alhashemi.ae","042684466","100374063400003"
"10030","Al Hawai Office Furniture   Equipmen","Active","","","P.O.Box 14065   Dubai ","AE","","",""
"10032","Al Nabooda Interiors LLC","Active","559255","07/09/2022 00:00:00","P.O.Box 50523  Dubai 50523","AE","sridhar@naboodainteriors.com","43407778","100007036500003"
"10034","Al Nisr Publishing LLC","Active","300468","03/09/2019 00:00:00","P.O.Box 6519   Dubai 6519","AE","skhan@gulfnews.com","","100051296000003"
"10035","Al Rais Travel   Shipping Agencies","Active","","","P.O.Box 24713   Dubai ","AE","alrais@emirates.net.ae","",""
"10036","Al Reyami Office Furnishings & Gen. Trading","Active","232807","12/12/2021 00:00:00","P.O.Box 14662  KARAMA 14662","AE","rof@reyami.com","43180285","100314712900003"
"10037","Al Rostamani Trading Company","Active","","","P.O.Box 812   Dubai ","AE","","",""
"10038","Al Sabbar Novelties","Active","","","P.O.Box 8446   Dubai ","AE","","",""
"10040","Al Tamimi & Company LTD.","Active","CL1055","04/14/2022 00:00:00","DIFC Sheikh Zayed Road Building 4 6th Floor Dubai 9275","AE","credit.control@tamimi.com","043641641","100032622100003"
"10041","Al Tannaf Electronics LLC","Active","231623","08/11/2022 00:00:00","MOHD SAEED ABDUL RAHIMS BUILDING 1188C AL NAKHEEL STREET DEIRA DUBAIDubai United Arab Emirates 39309 MOHD SAEED ABDUL RAHIMS BUILDING 1188C AL NAKHEEL STREET DEIRA DUBAIDubai United Arab Emirates 39309 Dubai 39309","AE","dubai@altanaf.com","42850928","100250652300003"
"10042","Alpha Data - L.L.C (DUBAI BRANCH)","Active","215503","09/12/2022 00:00:00","P.O.Box 8829  Dubai 8829","AE","bala@alphadxb.com","44255955","100218155800003"
"10043","American Business Council","Active","","","P.O.Box 31067   Dubai ","AE","director@abcdubai.com","",""
"10044","American University in Dubai","Active","","","P.O.Box 28282   Dubai ","AE","info@aud.edu","",""
"10045","Apollo Advertising","Active","300409","03/12/2022 00:00:00","No:03 34/215 street Old Steel Mill Road Umm Ramool Industrial Area 2 Near Duty Free Warehouse  Dubai 60058","AE","mani@apolloadvertisingllc.com","042852121","100069555900003"
"10048","BSH TRADING LLC","Active","234434","06/28/2022 00:00:00","Shaikha Maryam building Umm Hurair Road Oud Metha Dubai 30872","AE","ambat@bshwallsandfloors.com","043094621","100291554200003"
"10049","BSA Consultants","Active","","","P.O.Box 27632   Dubai ","AE","bsacdbx@emirates.net.ae","",""
"10050","Baltimore Aircoil Company","Active","","","P.O.Box 7322   BaltimoreMaryland ","US","mbaui@baltimoreaircoil.ae","",""
"10051","Berkeley Services UAE LLC","Active","232188","12/31/2026 00:00:00","P.O.Box 7591   Dubai 7591","AE","satheesh@berkeleyuae.com","","100029720800003"
"10052","Blenz Coffee","Active","","","P.O.Box 54436   Dubai ","AE","monzer@blenz-me.com","",""
"10053","Brand Form Advertising LLC","Active","","","P.O.Box 215644   Dubai ","AE","bettina.tauro@brand-form.com","",""
"10055","CASTELLI MIDDLE EAST FZE","Active","","","P.O.Box 17600   Dubai ","AE","castelli@emirates.net.ae","",""
"10056","CENTAUR SECURITY & SAFETY TRADING","Active","","","P.O.Box 389   Dubai ","AE","centaur@zener.ae","",""
"10058","City Diamond Contracting LLC","Active","","","POBOX:000000   Dubai ","AE","","",""
"10059","Cleanco Cleaning Services & building Maintenance","Active","505887","05/31/2022 00:00:00","P.O.Box 429 2503 -2506Al shafar tower 1 Tecom Dubai 429","AE","sales@cleancodubai.com","44503633","100032723700003"
"10060","MENA Real Estate Solutions LLC (Dubai Branch)","Active","751623","02/03/2022 00:00:00","PO BOX:48817 Al Shafar Tower 1 12th Floor Barsha Heights Dubai 48817","AE","judith.egida@colliers.com","44537400","100219667100003"
"10061","Construction & Building Engineering","Active","","","P.O.Box 11222   Dubai ","AE","cbellc@emirates.net.ae","",""
"10062","Copy Chase FZCO","Active","","","P.O.Box 116480   Dubai ","AE","","",""
"10064","DANWAY","Active","207745","04/01/2022 00:00:00","Al Quoz Ind. Area P. O. Box 50048 Al Qouz Dubai 50048","AE","info@danwayllc.com","43473700","100267301800003"
"10065","DEWA","Active","","","P.O.Box 564 dubai  Dubai ","AE","cbd@dewa.ae","12312345",""
"10067","DNATA","Active","1989","12/31/2029 00:00:00","P.O.Box  1515  Dubai 1515","AE","m.noronha@emirates.com","47082709","100281902500003"
"10068","DORMA Middle East L L C ","Active","","","P.O.Box 121732   Dubai ","AE","","",""
"10069","Dar Al Hikma LLC","Active","204980","03/15/2022 00:00:00","P.O.Box 2007 Off Salahudeen StreetDeiraDubai  Dubai 2007","AE","alhikma@eim.ae","42665394","100329281800003"
"10070","Dar Al Khaleej","Active","","","P.O.Box 30   Sharjah ","AE","subscriptions@alkhaleej.ae","",""
"10071","Data Capture Systems Co LLC","Active","","","P.O.Box 29937   Dubai ","AE","","",""
"10072","Dubai Health Authority","Active","","","P.O.Box 4545   Dubai ","AE","","",""
"10073","Department of Tourism & Commerce Marketing","Active","","","P.O.Box 594   Dubai ","AE","","",""
"10076","Drake & Scull International LLC    A c # 01010 159291 11","Active","","","P.O.Box 50237   Dubai ","AE","","",""
"10077","Dubai Chamber of Commerce &  Industry","Active","","","P.O.Box 1457   Dubai ","AE","","",""
"10078","Dubai Creek Golf and Yacht Club","Active","634046","01/01/2019 00:00:00","P.O.Box 24040  Dubai 24040","AE","egcreceivables@dubaigolf.com","44179999","100314979400003"
"10079","Dubai Institute for Human Resource Development","Active","","","P.O.Box 77373   Dubai ","AE","","",""
"10081","Dubai Labour Supply Co ","Active","","","P.O.Box 6238   Dubai ","AE","dulsco@dulsco.com","",""
"10082","Dubai Municipality","Active","","","P.O.Box 67   Dubai ","AE","info@dm.gov.ae","",""
"10083","Dubai Quality Group","Active","129018","08/14/2019 00:00:00","P.O.Box 9278 Dubai U.A.E nil Dubai 9278","AE","gishu@dqg.org","043431950","100321342600003"
"10085","Dubai World Trade Centre L L C ","Active","229559","11/23/2021 00:00:00","P.O.Box  9292   Dubai 9292","AE","Magdalene.Njau@dwtc.com","","100242618500003"
"10086","EMPOST","Active","","","P.O.Box 32200   Dubai ","AE","info@impostuae.com","",""
"10088","ETA ASCON Group","Active","","","P.O.Box 5238   Dubai ","AE","ascon@asconuae.com.","",""
"10089","ETA MELCO Elevator Co (L.L.C)","Active","","","P.O.Box 11058   Dubai ","AE","gopinaths@etamelco.com","",""
"10092","Emirates Computers","Active","","","P.O.Box 60983   Dubai ","AE","","",""
"10093","Emirates Flight Catering Co  L L C ","Active","","","P.O.Box 22525   Dubai ","AE","","",""
"10094","Emirates Photo Marketing","Active","206052","12/18/2021 00:00:00","P. O. Box: 1530   Ajman 31994","AE","shahani@epm.ae","","100228320600003"
"10095","Emirates Post","Active","","","P.O.Box 8888   Dubai ","AE","custservice@emiratpost.co.ae","",""
"10096","Emirates Printing Press L L C ","Active","9796","02/20/2022 00:00:00","P.O.Box 538  Ajman 538","AE","paul@emiratesprinting.com","067433180","100032823500003"
"10097","Emirates Technology Company","Active","215827","04/12/2017 00:00:00","P.O.Box 8391   Dubai 8391","AE","abdelKahar_fahim@emitac.ae","",""
"10100","Eurotech Auto Maintenance","Active","","","P.O.Box 30102   Dubai ","AE","","",""
"10102","Exact Sign","Active","","","P.O.Box 29778   Dubai ","AE","exactsigndubai@gmail.com","",""
"10104","Executrain L L C","Active","","","P.O.Box 26977   Dubai ","AE","maher@executrain.ae","",""
"10105","Express Print  Publishers  LLC","Active","","","P.O.Box 10263   Dubai ","AE","epp@emirates.net.ae","",""
"10108","Faraidooni Trading Co  L L C ","Active","","","POBOX:000000   Dubai ","AE","ftcdxb@emirates.net.ae","",""
"10110","Farook International Stationery LLC","Active","2493","06/29/2017 00:00:00","P.O.Box 2987   Dubai 371073","AE","dafza@farook.ae","","100300187000003"
"10112","Financial Business Times","Active","","","POBOX:000000   London ","GB","ftcredit.control@ft.com","",""
"10113","Fujairah National Construction co ","Active","","","P.O.Box 16269   Dubai ","AE","fncdxb@emirates.net.ae","",""
"10114","GARGASH TRAVEL","Active","","","P.O.Box 19579   Dubai ","AE","rushdi@gargasht.ae","",""
"10115","GATE WAY MOVING DOORS","Active","544987","06/17/2022 00:00:00","P.O.Box 34369  Sharjah 34369","AE","gwmdoor@gmail.com","65351415","100362983700003"
"10116","GENERAL CERAMICS CO  LTD ","Active","","","P.O.Box 6124   Sharjah ","AE","","",""
"10117","GLOMACS","Active","","","POBOX:000000   Dubai ","AE","","",""
"10121","Golden Neon","Active","","","P.O.Box  31072   Dubai ","AE","goldeneon@emirates.net.ae","",""
"10122","Grand Hyatt Dubai","Active","530895","12/14/2020 00:00:00","PO.Box 7978   Dubai 7978","AE","constanze.guetschow@hyatt.com","","100314979400003"
"10123","Gulf Development & Construction (INMA) (L.L.C) ","Active","203485","03/22/2022 00:00:00","P.O.Box 4560   Dubai 4560","AE","inmauae@inmagulf.com","","100204499600003"
"10124","Gulf Sail General Trading Co LLC","Active","","","P.O.Box 6713   Dubai ","AE","gulfsail@emirates.net.ae","",""
"10126","HITEC INTERIORS LLC","Active","","","P.O.Box 112047   Dubai ","AE","michael@hitechinteriors.net","",""
"10127","HAROON ENG.MAT.MARKETING CO.L L C","Active","15737","05/06/2022 00:00:00","Sanitart Complex P.O.BOX - 6747 Industrial Area-4 Sharjah 6747","AE","sabazaidi@haroonco.net","65337338","100293948400003"
"10129","Higher Colleges of Technology","Active","","","POBOX:000000   Dubai ","AE","","",""
"10132","Ikea Dubai","Active","","","P.O.Box 50618   Dubai ","AE","ikea_dubai@alfuttaim.ae","",""
"10133","Intercare Limited","Active","110642","12/16/2021 00:00:00","P.O.Box 5628   Sharjah 5628","AE","allan.antao@intercare.ae","","100310249600003"
"10134","Intercare Ltd","Active","","","POBOX:000000   Dubai ","AE","","",""
"10135","Interiors R US","Active","553233","02/07/2022 00:00:00","P.O.Box 117026 AL QUOZ INDUSTRIAL AREA-4 Dubai 117026","AE","ajay@interiorsrus.com","43475123","100266821600003"
"10136","International Printing Press","Active","","","P.O.Box 5266   Dubai ","AE","ippdubai@emirates.net.ae","",""
"10137","Intertec Systems LLC","Active","224193","01/22/2022 00:00:00","Level 2 Sobha SaphireBusiness Bay  Dubai 27130","AE","Gov.Info@intertecsys.com","44479444","100003356100003"
"10138","Italian Planters","Active","548425","08/26/2022 00:00:00","Office No: 116 Addiyar Building Sheikh Zayed Road Al Wasl Area  Dubai 113494","AE","sales@italianplanters.com","43468373","100290452000003"
"10140","JASANI  L L C  ","Active","","","P.O.Box 114181   Dubai ","AE","uaebiz@eim.ae","",""
"10142","JUOPTER INTERNATIONAL GENERAL TRADING","Active","","","P.O.Box 52709   Dubai ","AE","juopter@emirates.net.ae","",""
"10143","Jacky's Electronics LLC","Active","","","P.O.Box  13745   Dubai ","AE","dubai@jackys.com","",""
"10146","Jumbo Electronics Co","Active","","","P.O.Box 3426   Dubai ","AE","Sumeet.Kadali@jumbo.ae","",""
"10147","Jumeira Pest Control Services","Active","","","P.O.Box 9253   Dubai ","AE","jpcdubai@emirates.net.ae","",""
"10148","Jumeirah Beach Hotel","Active","217885","11/11/2017 00:00:00","P.O.Box 11416   Dubai 11416","AE","Katelyn.JoyceMelad@jumeirah.com","",""
"10149","JUNE FLOWERS LLC","Active","512922","07/02/2021 00:00:00","P.O.Box 26712   Dubai 26712","AE","juneflowersdubai@gmail.com","","100016556100003"
"10150","KPMG","Active","113869","01/11/2022 00:00:00","P.O.Box 3800 Office No.: 04.01 Level 4 The Offices 5 at One Central Dubai 3800","AE","ae-fmsalesmarketing@kpmg.com","43569500","100044393500003"
"10151","Khaleej Times","Active","","","P.O.Box 11243   Dubai ","AE","gtimes@emirates.net.ae","",""
"10152","Khansaheb Civil Engineering LLC","Active","204394","03/14/2022 00:00:00","P.O.Box 2716 Al Rashidiya Dubai 2716","AE","roads.estimation@khansaheb.ae","46057200","100240059400003"
"10153","Knights & Walker Middle East LLC","Active","535022","06/17/2016 00:00:00","P.O.Box 30956   Dubai 30956","AE","bhavesh@knightsandwalker.co.uk","",""
"10155","Le Carde Trading Establishment","Active","","","P.O.Box 22016   Sharjah ","AE","lecarde@emirates.net.ae","",""
"10156","Le Meridien Dubai","Active","216426","02/25/2019 00:00:00","P.O.Box 10001   Dubai 10001","AE","Sharon.pippin@lemeridien.com","","100314979400003"
"10157","Lobo Tailors","Active","","","P.O.Box 31850   Dubai ","AE","lobotl@emirates.net.ae","",""
"10160","MOHAMED ABDULRAHMAN AL BAHAR","Active","","","P.O.Box 6038   Sharjah ","AE","","",""
"10162","Magrudy Enterprises","Active","201924","05/03/2021 00:00:00","P.O.Box 1155   Dubai 1155","AE","prateek.m@magrudy.com","","100243039300003"
"10163","Marlin Furniture","Active","","","P.O.Box 50579   Dubai ","AE","aslam@marlinoffice.ae","",""
"10165","May Flowers","Active","","","P.O.Box 22993   Sharjah ","AE","mayflrs@emirates.net.ae","",""
"10169","Mohammed Bin Rashid Housing Est","Active","","","POBOX:000000   Dubai ","AE","","",""
"10171","Kreston Menon Chartered Accountants","Active","c2506","07/17/2022 00:00:00","P.O.Box 371076  Dubai 371076","AE","bijunair@krestonmenon.com","46091019","100341177200003"
"10173","Nablus Road Contracting LLC","Active","","","P.O.Box 47564   Dubai ","AE","nablus004@gmail.com","",""
"10174","Nada Electronics","Active","","","P.O.Box 16388   Dubai ","AE","nadaelec@emirates.net.ae","",""
"10175","National General Insurance Co LTD","Active","205338","11/26/2018 00:00:00","P.O.Box 154  Dubai 154","AE","ngico@emirates.net.ae","42115800","100065858100003"
"10177","ORACLE SYSTEMS LIMITED","Active","19072","11/14/2021 00:00:00","P.O.Box 500099   Dubai 500099","AE","rochak.vig@oracle.com","","100067257400003"
"10178","OTIS L L C ","Active","201674","02/03/2022 00:00:00","P.O.Box 8626   Dubai 8626","AE","Abraham.Vadakkan@otis.com","","100028551800003"
"10179","Omnix International LLC","Active","224618","04/03/2021 00:00:00","POBOX: 50999  OUD METHA 50999","AE","Gov-Dxb@omnix.ae","043344495","100284686100003"
"10180","Omnova Wallcovering LLC","Active","","","P.O.Box 34625   Dubai ","AE","srpratt@muraspec","",""
"10182","Orient Planet","Active","529235","09/16/2021 00:00:00","P.O.Box 23345   Dubai 500266","AE","hamad@orientplanet.com","","100327010300003"
"10183","PLUG INS Electronics","Active","","","P.O.Box  2798   Dubai ","AE","feyzollah.zamani@alfuttaim.ae","",""
"10185","PARIS GALLERY REGIONAL FZCO","Active","1065","07/04/2022 00:00:00","P.O.Box 55437   Dubai 48041","AE","winny@pgregional.com","","100065841700003"
"10186","Pixel Digital Systems LLC","Active","246228","04/22/2016 00:00:00","17th Floor Churchill Tower Business Bay  Dubai 60827","AE","receivables@pixel-digital.com","44541629","100323527000003"
"10187","Precise Trading LLC","Active","537134","08/30/2021 00:00:00","P.O.Box 72327   Dubai 72327","AE","amcrm1@preciseme.com","","100301194500003"
"10188","Prestige Sign","Active","","","P.O.Box 26840   Sharjah ","AE","","",""
"10189","Proscape LLC","Active","520556","08/13/2022 00:00:00","6th Floor Building No.03 Bay Square Business Bay Dubai.  Dubai 3151","AE","info@proscapeuae.com","42770244","100209979200003"
"10191","Rapid Access","Active","245082","01/22/2022 00:00:00","Rapid Access LLC Sector 913 Dubai Investment Park 1 Dubai PO Box 38170 United Arab Emirates  Dubai 38170","AE","balakumar.ravindran@rapidaccess-gulf.com","565248107","100598049300003"
"10192","Raqmiyat LLC","Active","201916","12/07/2021 00:00:00","P.O.Box 8547   Dubai 8547","AE","Parikshit.S@Raqmiyat.onmicrosoft.com","","100391911300003"
"10193","'Rashid Paediatric Therapy Centre, Dubai.'","Active","","","P.O.Box  456   Dubai ","AE","","",""
"10194","Ritmo Furniture Trading","Active","233872","04/04/2022 00:00:00","shop /office 32-35 Ground Floor Zabeel Building Al Karama zabeel road Dubai 2480","AE","info@ritmo.ae","43395171","100325060000003"
"10195","Roads & Transport Authority","Active","","","P.O.Box 118899   Dubai ","AE","","",""
"10196","Royal Blinds L L C","Active","","","P.O.Box 2107   Dubai ","AE","royaldxb@emirates.net.ae","",""
"10197","SGS Gulf Limited","Active","4681","12/05/2018 00:00:00","P.O.Box 18556 Head Office ? Middle East RegionSGS Building Street No. N 203 Dubai 18556","AE","mela.sajith@sgs.com","4883 22 22","100074622000003"
"10198"," Scientechnic LLC","Active","201660","02/26/2022 00:00:00","Al Ittihad Road Dubai to Sharjah Road Al Khabisi Area Deira.  Dubai 25490","AE","reception@scientechnic.ae","42035777","100008678300003"
"10200","SIEMENS INDUSTRIAL L.L.C - DUBAI BRANCH","Active","2620126","03/10/2022 00:00:00","P.O.Box 116338Galleries Building 2 Jebel Ali - Dubai Smart Infrastructure Division -SI RSS SH SER Dubai 116338","AE","yatheendra.pai@siemens.com","043610145","100482184700003"
"10201","Signs N Designs","Active","","","P.O.Box 56854   Dubai ","AE","","",""
"10202","Sites Power LLC","Active","","","P.O.Box 13801   Dubai ","AE","","",""
"10203","Spearhead Gulf LLC","Active","502184","11/03/2021 00:00:00","AL MOOSA BUSINESS CENTRE OFFICE 202 43 UMM HURAIR ROAD OUD METHA  Dubai 32329","AE","info@spearhead-training.com","43362552","100044986600003"
"10204","Standard Chartered Bank Dubai","Active","","","POBOX:000000   London ","GB","","",""
"10206","Sutton International L L C ","Active","531557","01/22/2022 00:00:00","Office 2413 Executive Churchill Tower Business Bay  Dubai 76340","AE","zia@sutton.ae","43609015","100336130800003"
"10207","Swift Interiors Design and Build L.L.C.","Active","","","P.O.Box 119531   Dubai ","AE","satish Babu","",""
"10208","TECHNICAL PARTS FZCO","Active","","","P.O.Box 18024   Dubai ","AE","daga@tpcdubai.co","",""
"10209","TRI Hospitality Consulting","Active","","","P.O.Box 31933   Dubai ","AE","peter.goddard@trimideast.com","",""
"10210","Technical Resources Est","Active","","","P.O.Box 23360   Dubai ","AE"," Shiju@techres-uae.com","",""
"10211","Techno Stream FZCO","Active","","","P.O.Box  54582   Dubai ","AE","M.Hararah@technostream.ae","",""
"10212","The Monarch Hotel","Active","","","P.O.Box 125511   Dubai ","AE","","",""
"10213","The People Partnership FZ   LLC","Active","","","P.O.Box 12047   Dubai ","AE","martin@people.ae","",""
"10214","Thomas Bennett Gulf LLC","Active","","","P.O.Box 11545   Dubai ","AE","tbgdubai@emirates.net.ae","",""
"10215","Top Gear Promotions LLC","Active","","","P.O.Box 65588   Dubai ","AE","","",""
"10216","Transguard Group L L C","Active","537142","08/30/2025 00:00:00","Emirates Group Security Bldg. Dubai Airport Free Zone Dubai 22630","AE","tenders@transguardgroup.com","47030500","100225443900003"
"10217","Trigon Computer  L L C  ","Active","","","P.O.Box 32614   Dubai ","AE","vijay@trigon-gulf.ae","",""
"10218","Union Co operative Society","Active","","","P.O.Box 3861   Dubai ","AE","","",""
"10219","University of Dubai","Active","615134","08/13/2021 00:00:00","Academic CITY Dubai  Dubai 14143","AE","ced@ud.ac.ae","045566800","100276028600003"
"10220","University of Sharjah","Active","","","POBOX:000000   Dubai ","AE","","",""
"10221","University of Wollongong in Dubai","Active","","","P.O.Box 20183   Dubai ","AE","Onfo@uowdubai.ac.ae","",""
"10222","Verger et Delporte UAE","Active","500351","01/30/2022 00:00:00","P.O.Box 5629 Industrial area 5Double cola road Sharjah 5629","AE","mail@verger-delporte.ae","65432436","100305235200003"
"10223","Vertex Trading","Active","","","P.O.Box 5258   Dubai ","AE","vertex@emirates.net.ae","",""
"10224","Visionaire FZE","Active","","","P.O.Box 16928   Dubai ","AE","Kiran@govisionaire.com","",""
"10225","WATER BIRD WTC LLC","Active","229397","10/08/2021 00:00:00","P.O.BOX: 27126 Street # 16 D Plot # 369/471 Building # 10Al Quoz Industrial Area 4 Dubai UAE  Dubai 27126","AE","info@waterbirdwtc.com","43405961","100274429800003"
"10226","Zayani & Co. LLC","Active","","","P.O.Box 167   Dubai ","AE","zayanico@emirates.net.ae","",""
"10227","Zayed University","Active","Decree No. 11","12/31/2027 00:00:00","P.O.Box 19282   Dubai 19282","AE","js@neumann-consultants.com","",""
"10228","Zener Electronics Services","Active","","","P.O.Box 389   Dubai ","AE","zener@emirates.net.ae","",""
"10396","PETTY CASH","Active","","","FACILITY MANAGEMENT    ","AE","","",""
"10398","Bizcom","Active","","","Suite 702 Fairmont Dubai Sheikh Zayed Road  Dubai ","AE","ajay@bizcom.ae","",""
"10399","Lootah LemmensLLC","Active","","","P.O. Box: 10631 DxB   Dubai ","AE","","",""
"10402","Bin Omair Cleaning Services","Active","","","P.O Box 66752    ","AE","","",""
"10403","Al Reyami Signs & Advertising (LLC)","Active","","","P.O Box 28683    ","AE","sajeed.m@reyamisigns.com","",""
"10404","IN OUT SPACE L.L.C","Active","","","P.O Box 2994    ","AE","","",""
"10408","Arab British Chamber of Commerce","Active","","","43 UPPER GROSVSNOR STREET WIK2NJ    ","GB","","",""
"10409","New Clean way Services EST.","Active","","","P.O.Box 80009    ","AE","","",""
"10410","Xpert Learning Fz.LLc","Active","","","P.O.Box 500383   Dubai ","AE","","",""
"10411","New smart office automation LLC","Active","","","Dubai    ","AE","nazmi@newsmart.ae","",""
"10412","Etisalat Academy","Active","654041","05/17/2022 00:00:00","P.O.Box 99100  Dubai 99100","AE","msheikh@ea.ae","42043302","100215656800003"
"10417","AlDiwan Translation & Typing","Active","","","P.O.Box 54677    ","AE","","",""
"10419","Trading Enterprises Company LLC","Active","","","P.O Box 00    ","AE","","",""
"10422","Nestle Waters Factory H&O L.L.C","Active","","","P.O Box 85389    ","AE","marlon.abenes@nestlewaters.ae","",""
"10423","Century Glass L.L.C.","Active","","","P. O. Box: 52496   Dubai ","AE","","",""
"10424","Black Tulip Flowers L.L.C.","Active","","","P. O. Box: 577 Sharjah  Sharjah ","AE","","",""
"10425","Exclaimer","Active","","","Suite 6 old school studieos    ","GB","sales@exclaimer.com","",""
"10426","Five Stars Contracting","Active","","","P.O.BOX:81054   Dubai ","AE","","",""
"10427","Abu Dhabi Media Co","Active","","","P.O.Box : 63    ","AE","communications@admedia.ae","",""
"10428","CoolTech Energy Water Treatment","Active","","","P. O. BOX: 49965   Dubai ","AE","","",""
"10429","'Evergreen Aluminium, Glass & Decor L.L.C'","Active","","","P.O.BOX:30836   Ajman ","AE","","",""
"10430","Computerlinks FZCO","Active","","","P.O Box 341027    ","AE","","",""
"10431","Clifford Chance LLP","Active","CL0324","01/24/2022 00:00:00","P. O. Box: 9380   Dubai 9380","AE","naseer@hawksol.com","","100371557800003"
"10432","soltius middle east fz-llc","Active","","","P.O.BOX:501714   Dubai ","AE","manish.arora@soltiusme.com","",""
"10433","Projacs International","Active","","","PO Box 31155 Dubai   dubai ","AE","dubai@projacs.com","",""
"10434","Internal Auditors Association","Active","125","12/31/2026 00:00:00","P. O. Box: 17000   Dubai 90919","AE","ninad@iiauae.org","","100346633900003"
"10435","DAIKIN MCQUAY (L.L.C)","Active","","","P.O.BOX:125833   Dubai ","AE","","",""
"10436","Harp Middle East L.L.C","Active","","","P.O.BOX:48598   Sharjah ","AE","harpshj@emirates.net.ae","",""
"10437","Dubai Silicon Oasis Authority","Active","Law 16 of 2005","12/31/2057 00:00:00","P. O. Box: 6009   Dubai 6009","AE","bkhan@dso.ae","","100292268800003"
"10438","Alpha UK Training and Consultancy","Active","","","P.O.BOX:120385   Dubai ","AE","","",""
"10439","AL GHANI BUILDING MAINTENANCE & DECORATION L.L.C","Active","","","P.O.Box: 3502   Dubai ","AE","","",""
"10440","Gallery One","Active","","","P.O.Box: 212178   Dubai ","AE","","",""
"10441","Ritmo interiors","Active","","","P.O.BOX:2480   Dubai ","AE","","",""
"10442","G4S International FZE","Active","","","P.O Box 54907    ","AE","","",""
"10444","THINK PLUS MANAGMENT TRAINING CENTER","Active","","","P.O Box 31367    ","AE","","",""
"10445","GIVANI FURNITURE","Active","","","P.O BOX 27945    ","AE","","",""
"10446","FORESIGHT TECHNOLOGY","Active","CN-1014064","12/26/2021 00:00:00","P.O BOX 65254    65254","AE","saran@4sight-tech.com","","100218155800003"
"10452","Pioneer Stamps Trading","Active","","","PO BOX 40899    ","AE","","",""
"10453","AUTOZONE GARAGE","Active","","","DUBAI PO BOX 19187    ","AE","autozonegaragedxb@gmail.com","",""
"10455","COSTA COFFEE","Active","","","B.O BOX 122199    ","AE","","",""
"10456","Samir Odeh & Sons Trading LLC","Active","240928","03/02/2022 00:00:00","P.O  BOX 12991 DUBAI AIR PORT ROADNEAR CARGO VILLAGEARAMEX NEXT SHOP DUBAI AIR PORT ROADNEAR CARGO VILLAGEARAMEX NEXT SHOP DUBAI 12991","AE","info.ae@sosgroup.com","42821762","100218719100003"
"10457","SIGNWORKS LLC","Active","92046","02/18/2022 00:00:00","C39 Dubai Production City IMPZ  Dubai 191916","AE","info@signworks.ae","343383","100325193900003"
"10458","AL MANA COLOR STAMPS L.L.C","Active","","","P.O BOX 5788    ","AE","","",""
